gene,expressed_in_human_nhp,No_variability_within_classes,Div_in_ExN,Div_in_InN,Div_in_NonN,Div_in_atleast1class,human_mammal_adj_pval,human_vert_adj_pval,Div_in_bulk,Divergence_category
SOD2,1,FALSE,0,0,0,0,0.967886141,1,0,NA
SOD3,0,FALSE,1,1,0,1,1,1,0,NA
SOGA1,1,FALSE,0,0,0,0,1,1,0,NA
SOGA3,1,TRUE,0,0,0,0,0.000522552,0.002329172,1,NA
SOHLH1,1,FALSE,0,0,1,1,NA,NA,0,Diverged_in_single-cell
SOHLH2,1,FALSE,0,1,0,1,NA,NA,0,Diverged_in_single-cell
SON,1,FALSE,0,0,0,0,0.167078394,1,0,NA
SORBS1,1,FALSE,0,0,0,0,1,1,0,NA
SORBS2,1,FALSE,0,0,0,0,0.839230141,1,0,NA
SORBS3,1,FALSE,0,0,0,0,1,1,0,NA
SORCS1,1,FALSE,0,0,0,0,1,1,0,NA
SORCS2,1,FALSE,0,0,0,0,0.312950622,1,0,NA
SORCS3,1,FALSE,0,0,0,0,0.998839095,1,0,NA
SORD,1,FALSE,0,0,0,0,1,1,0,NA
SORL1,1,FALSE,0,0,0,0,1,1,0,NA
SORT1,1,FALSE,0,0,0,0,1,1,0,NA
SOS1,1,FALSE,0,0,0,0,0.002312858,1,0,NA
SOS2,1,FALSE,0,0,0,0,1,1,0,NA
SOSTDC1,1,FALSE,0,0,1,1,0.000476751,0.75777869,0,Diverged_in_single-cell
SOWAHA,1,FALSE,0,0,0,0,1,1,0,NA
SOWAHB,0,FALSE,0,0,1,1,0.975286619,1,0,NA
SOWAHC,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
SOX1,1,FALSE,1,0,0,1,0.742184106,1,0,Diverged_in_single-cell
SOX10,1,FALSE,0,1,0,1,0.003859342,1,0,Diverged_in_single-cell
SOX11,1,FALSE,0,0,0,0,1,1,0,NA
SOX12,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
SOX13,1,FALSE,0,0,0,0,1,1,0,NA
SOX15,1,FALSE,0,0,0,0,1,1,0,NA
SOX18,0,FALSE,0,0,0,0,1,1,0,NA
SOX2,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
SOX21,1,FALSE,1,1,0,1,1,1,0,Diverged_in_single-cell
SOX30,0,FALSE,0,1,0,1,0.294929976,0.183675066,0,NA
SOX4,1,FALSE,0,0,0,0,0.995401268,1,0,NA
SOX6,1,FALSE,0,0,0,0,0.002653981,1,0,NA
SOX7,1,FALSE,0,0,0,0,0.025438944,1,0,NA
SOX9,1,FALSE,0,0,0,0,0.117942616,1,0,NA
SP1,1,FALSE,0,0,0,0,0.009851833,1,0,NA
SP100,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
SP110,1,FALSE,0,0,0,0,1,1,0,NA
SP140,1,FALSE,0,0,0,0,1,1,0,NA
SP2,1,FALSE,0,0,0,0,0.310475627,1,0,NA
SP3,1,FALSE,0,0,0,0,1,1,0,NA
SP4,1,FALSE,0,0,0,0,0.27700267,1,0,NA
SP5,0,FALSE,1,0,1,1,0.31311122,1,0,NA
SP7,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SP8,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
SPA17,1,FALSE,0,0,1,1,5.44E-06,1,0,Diverged_in_single-cell
SPACA1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SPACA3,0,FALSE,1,1,1,1,0.657266807,1,0,NA
SPACA4,0,TRUE,0,1,0,1,1,1,0,NA
SPACA5,1,FALSE,0,1,1,1,1,1,0,Diverged_in_single-cell
SPACA7,1,FALSE,0,1,1,1,NA,NA,0,Diverged_in_single-cell
SPAG1,1,FALSE,0,0,0,0,0.976710111,1,0,NA
SPAG16,1,FALSE,0,0,1,1,0.927821766,1,0,Diverged_in_single-cell
SPAG17,1,FALSE,0,0,1,1,0.065088999,1,0,Diverged_in_single-cell
SPAG4,1,FALSE,0,0,1,1,NA,NA,0,Diverged_in_single-cell
SPAG5,1,FALSE,0,0,0,0,NA,NA,0,NA
SPAG6,1,FALSE,0,0,0,0,1,1,0,NA
SPAG7,1,FALSE,0,0,0,0,0.98616328,1,0,NA
SPAG8,1,FALSE,0,0,0,0,1,1,0,NA
SPAG9,1,FALSE,0,0,0,0,0.900169844,1,0,NA
SPAM1,0,FALSE,1,1,0,1,1,1,0,NA
SPARC,1,FALSE,0,0,0,0,0.162858236,1,0,NA
SPARCL1,1,FALSE,0,0,0,0,0.024028563,1,0,NA
SPAST,1,FALSE,0,0,0,0,1,1,0,NA
SPATA1,1,FALSE,0,0,0,0,0.825845842,1,0,NA
